company_name,time,salary,title,link
ABC Work,144,,Opiekun/ka osób starszych - dom opieki - Niemcy - od VI 2019 r.,"https://pl.jooble.org/desc/6084610435952777072?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=101&elckey=-4540265796195764490&sid=5189459144655893599&age=152&relb=100&brelb=100&bscr=5887,23681640625&scr=5887,23681640625&iid=-1692162570998271208"
ABC Work,144,,Personel pomocniczy (opieka nad osobami starszymi) - Niemcy,"https://pl.jooble.org/desc/-8886498431174910162?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=110&elckey=-4540265796195764490&sid=5189459144655893599&age=152&relb=100&brelb=100&bscr=5485,10693359375&scr=5485,10693359375&iid=5897342303762778241"
ABC Work Sp. z o.o. Sp. k.,96,,PIELĘGNIARZ/PIELĘGNIARKA (praca w domu opieki) - NIEMCY,"https://pl.jooble.org/desc/959972654002862052?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=380&elckey=-4540265796195764490&sid=5189459144655893599&age=104&relb=100&brelb=100&bscr=943,833618164063&scr=943,833618164063&iid=2149246501105337483"
ABC Work Sp. z o.o. Sp. k.,96,,Opiekunka Osób Starszych,"https://pl.jooble.org/desc/458924978679359312?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=18&elckey=-4540265796195764490&sid=5189459144655893599&age=104&relb=100&brelb=100&bscr=14314,533203125&scr=14314,533203125&iid=-3217503453700904830"
ABC Work Sp. z o.o. Sp. k.,120,,OPIEKUNKI SENIORÓW NIEMCY - PRACUJ LEGALNIE I BEZPIECZNIE W RODZINNEJ FIRMIE,"https://pl.jooble.org/desc/-4110069364804988987?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=666&elckey=-4540265796195764490&sid=5189459144655893599&age=128&relb=100&brelb=100&bscr=669,440612792969&scr=669,440612792969&iid=5490153967695196390"
APNDeiNL,120,,APN - Opiekun/ka osób starszych Hemau / Niemcy,"https://pl.jooble.org/desc/-4702912516192264926?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=116&elckey=-4540265796195764490&sid=5189459144655893599&age=152&relb=100&brelb=100&bscr=5072,53076171875&scr=5072,53076171875&iid=681555871609883354"
APNDeiNL,120,,APN - Opiekun/ka osób starszych Grunberg - Lardenbach / Niemcy,"https://pl.jooble.org/desc/-7538286134504838029?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=118&elckey=-4540265796195764490&sid=5189459144655893599&age=152&relb=100&brelb=100&bscr=4831,62353515625&scr=4831,62353515625&iid=3114342971046933716"
ATERIMA MED,24,400 zł / dziennie,OPIEKUN / OPIEKUNKA osób starszych z podstawowym j. niemieckim + wsparcie lektora,"https://pl.jooble.org/away/-1129794216108815975?p=2&pos=25&ckey=opieka+nad+osoba+starsza&sid=5189459144655893599&age=32&relb=125&brelb=115&scr=12342,0282778533&bscr=11354,666015625&iid=-933279093390296616"
ATERIMA MED,48,1400 €,Opieka do samodzielnego 90-letniego seniora - OFER,"https://pl.jooble.org/away/8727835305817645200?p=5&pos=81&ckey=opieka+nad+osoba+starsza&sid=5189459144655893599&age=65&relb=123&brelb=115&scr=6782,07126358696&bscr=6340,9609375&iid=-5454466061402030603"
ATERIMA MED,72,100 € / dziennie,Opiekun / Opiekunka łagodnej seniorki - WYSTARCZĄ PODSTAWY NIEMIECKIEGO! + PREMIA,"https://pl.jooble.org/away/2808774676720252418?p=8&pos=145&ckey=opieka+nad+osoba+starsza&sid=5189459144655893599&age=80&relb=125&brelb=115&scr=6198,81379500679&bscr=5702,90869140625&iid=-6248313340688755940"
ATERIMA MED,96,400 zł / dziennie,Opiekun / Opiekunka pogodnego seniora - WYSTARCZĄ PODSTAWY NIEMIECKIEGO!,"https://pl.jooble.org/away/-7378399092116365522?p=8&pos=150&ckey=opieka+nad+osoba+starsza&sid=5189459144655893599&age=104&relb=125&brelb=115&scr=5916,38502038044&bscr=5443,07421875&iid=-1205022231120196003"
Active Care Sp. z o.o.,48,1350 €,Opiekunka na 1 Mieisac do Pana Martina,"https://pl.jooble.org/away/5305783834108010477?p=20&pos=383&ckey=opieka+nad+osoba+starsza&sid=5189459144655893599&age=65&relb=129&brelb=115&scr=3146,2972380265&bscr=2804,83862304688&iid=-2746604320249753526"
Active Care Sp. z o.o.,96,1200 €,Opiekunka do Pani Dorothei z Bergisch Gladbach!!!,"https://pl.jooble.org/away/-6292408420236573523?p=20&pos=389&ckey=opieka+nad+osoba+starsza&sid=5189459144655893599&age=113&relb=129&brelb=115&scr=2680,81219641645&bscr=2389,87133789063&iid=-7866559092017360551"
Active Care Sp. z o.o.,96,1050 €,Opiekunka ze slaba znajomoscia jezyka do Pani!!!,"https://pl.jooble.org/away/-7362239269367965701?p=22&pos=421&ckey=opieka+nad+osoba+starsza&sid=5189459144655893599&age=113&relb=129&brelb=115&scr=2104,68878651495&bscr=1876,27294921875&iid=-5664733287058389599"
Active Care Sp. z o.o.,96,1400 €,Opiekunka do Pani Detty z Bad Schwartau - 14.09,"https://pl.jooble.org/away/-1896151225597245547?p=22&pos=431&ckey=opieka+nad+osoba+starsza&sid=5189459144655893599&age=113&relb=129&brelb=115&scr=1936,60277789572&bscr=1726,42883300781&iid=-3909143376933833586"
Active Care Sp. z o.o.,120,1250 €,Opiekun do Pana Theodora z Gelsenkirchen - 13.09!!,"https://pl.jooble.org/away/4512699358045216303?p=20&pos=400&ckey=opieka+nad+osoba+starsza&sid=5189459144655893599&age=128&relb=129&brelb=115&scr=2427,25369183085&bscr=2163,83081054688&iid=-7807702645209016411"
Active Care Sp. z o.o.,120,1400 €,Opiekunka do Pana Eberharda z Bonn- 01.10,"https://pl.jooble.org/away/7267915910695787594?p=21&pos=402&ckey=opieka+nad+osoba+starsza&sid=5189459144655893599&age=137&relb=129&brelb=115&scr=2387,57901664402&bscr=2128,4619140625&iid=-997216776870545818"
Active Care Sp. z o.o.,144,1400 €,Opiekunka do Pani Giseli z Bielefeld- OD ZARAZ,"https://pl.jooble.org/away/2222767420737505731?p=21&pos=403&ckey=opieka+nad+osoba+starsza&sid=5189459144655893599&age=161&relb=129&brelb=115&scr=2340,37888502038&bscr=2086,38427734375&iid=-1473844444457372749"
Active Intercare,72,1400 €,Mężczyzna z angielskim i prawem jazdy do opieki nad Panem w Hiszpanii od 30.09,"https://pl.jooble.org/desc/6093513366330931844?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=219&elckey=-4540265796195764490&sid=5189459144655893599&age=104&relb=100&brelb=100&bscr=3691,306640625&scr=3691,306640625&iid=7422575303854279162"
Active Intercare,72,,Opiekunka do leżącej Pani - język komunikatywny,"https://pl.jooble.org/desc/-6204022481532925086?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=303&elckey=-4540265796195764490&sid=5189459144655893599&age=104&relb=100&brelb=100&bscr=3362,53662109375&scr=3362,53662109375&iid=-6986081968890688075"
Active Intercare,96,1400 €,Opiekunka z prawem jazdy na stałe zlecenie na 6 tygodni,"https://pl.jooble.org/desc/-2134265960445307713?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=341&elckey=-4540265796195764490&sid=5189459144655893599&age=128&relb=100&brelb=100&bscr=2421,330078125&scr=2421,330078125&iid=1695045168476902150"
Active Intercare,144,,Opiekunka do Seniorki w Hiszpanii! Wymagana znajomość języka angielskiego,"https://pl.jooble.org/desc/76896635719203426?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=231&elckey=-4540265796195764490&sid=5189459144655893599&age=176&relb=100&brelb=100&bscr=3011,95922851563&scr=3011,95922851563&iid=904155846041506280"
Active Intercare,144,1300 €,Opiekunka do samotnej Pani w Bad Neustadt - komunikatywny niemiecki,"https://pl.jooble.org/desc/-4574648559158200056?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=364&elckey=-4540265796195764490&sid=5189459144655893599&age=176&relb=100&brelb=100&bscr=1760,35424804688&scr=1760,35424804688&iid=-560647513800973939"
Adjo,48,,Praca dla opiekunki ( j. niemiecki dobry) od 30.09.19 na dwa miesiące-1450/m-c- EUR- 66822 Lebach (SM/Sch)...,"https://pl.jooble.org/desc/4220195834411311593?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=401&elckey=-4540265796195764490&sid=5189459144655893599&age=80&relb=100&brelb=100&bscr=2414,77685546875&scr=2414,77685546875&iid=-9121433109067897319"
Adjo,96,,Praca dla opiekunki (j. niemiecki dobry) od 19.09.2019 na 2 miesiące- 1600 EUR- 92540 Altendorf (C/Hau)...,"https://pl.jooble.org/desc/8892332829546065908?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=510&elckey=-4540265796195764490&sid=5189459144655893599&age=128&relb=100&brelb=100&bscr=1731,52990722656&scr=1731,52990722656&iid=-4766243100169757845"
Adjo,144,1300 €,Praca dla opiekunki (j. niemiecki komunikatywny) od 20.09.2019 na dwa miesiące- 1300 EUR/m-c- 50937 Köln...,"https://pl.jooble.org/desc/1101534301792999327?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=536&elckey=-4540265796195764490&sid=5189459144655893599&age=176&relb=100&brelb=100&bscr=1223,09069824219&scr=1223,09069824219&iid=-2912652063067058500"
Adjo,144,,Praca dla opiekunki (j. niemiecki dobry) od 15.09.2019 na 2 miesiące-1450 EUR/m-c- 82041 Oberhaching...,"https://pl.jooble.org/desc/-3403169368601208796?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=511&elckey=-4540265796195764490&sid=5189459144655893599&age=176&relb=100&brelb=100&bscr=1717,97412109375&scr=1717,97412109375&iid=9131930487635590737"
Adsum24,120,1350 €,OPIEKUNKA DO PANA GEORGA OD 12.09 DO 6.10 - BALVE 58802,"https://pl.jooble.org/desc/1436132292219390131?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=289&elckey=-4540265796195764490&sid=5189459144655893599&age=152&relb=100&brelb=100&bscr=3707,59033203125&scr=3707,59033203125&iid=6556972871147392580"
Agencja Pracy SCG,20,1700 €,PILNA OFERTA! 1700€ NETTO! SYMPATYCZNE MAŁŻEŃSTWO DO OPIEKI! DWUMIESIĘCZNA SZTELA!,"https://pl.jooble.org/desc/3917749413125347174?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=126&elckey=-4540265796195764490&sid=5189459144655893599&age=20&relb=100&brelb=100&bscr=3661,97509765625&scr=3661,97509765625&iid=5576910009136986404"
