company_name,total offers
PonaCare,35
Ambercare24,28
EMPTY,27
agatakaczmarek,19
Ambercare24 sp. z o.o. sp. komandytowa,16
pracownik6,15
Efekt,14
Pflegehelden,9
Recrute,9
medikraft,9
Pflegeteam,9
Opieka Portus,9
Personel Group,9
Active Care Sp. z o.o.,8
Total Job sp. z o.o.,8
active,8
pracaSoftCare24,7
ProSenior Sp. z.o.o.,7
Avanti Medic,7
Personalservices24,6
Caring Personnel,6
Opieka dla Seniora,6
Pronobel,6
Danzige Pflege,6
Medipe,6
Opieka2016,5
Promedica Care,5
Haus-Care.com,5
Active Intercare,5
Beta Active Elisabeth Sobiech,4
ATERIMA MED,4
personalservices24,4
Bonumo.pl,4
Biuro Usług Finansowych Adjo,4
Adjo,4
HR Investment,4
Proseca,4
Senihelp24,4
pronobel,4
GoWork.pl,4
omegacdk,3
Support and Care sp.z o.o.,3
Planeta Pracy s.c.,3
Agencja Zatrudnienia IDEA,3
darussia0711,3
sylwiawiec,3
Eurocare,3
seniodi24,3
Planeta pracy,3
Westacare,3
PRO-Senior,3
Notka24.Pl,3
Dremo Personaldienstleistung GmbH,3
Medira Sp. z o.o.,2
Europa Pflege,2
ProSenior24pl,2
Echte Hilfe 24,2
ABC Work Sp. z o.o. Sp. k.,2
ABC Work,2
aterima.med,2
Total Job Sp. z o.o. Sp. komandytowa,2
OPPM OFFICE Professional Personalmanagement GmbH DWUP Filia ...,2
Personel dla Europy,2
Pflegehilfe Schweiz AG,2
APNDeiNL,2
HRInvestment,2
Veritas,2
Arkadia Care,2
opiekunka seniora 24,2
Daily Help Sp. z o. o.,2
My Care 24,1
Riele Personaldienstleistung und Büroservice GmbH,1
Von Caprivi GmbH Fachpersonal,1
Ulife Artur Konopiński,1
Arche ProCare,1
GastamoJobService,1
Hotels Personal,1
gohagl,1
LABORA,1
Goldenhand,1
PlanetaPracy,1
AgencjaPracySCG,1
Interkadra Sp. z o. o. GUP w Gdańsku,1
Phoenix Personal GmbH,1
INTERKADRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ,1
PrivateCare,1
PRO-SENIOR Sp.zo.o,1
Safer Life,1
Pflegedienst 1A PflegeMAX 24h GmbH,1
GoWorkMRKTG,1
Work On Personal Ltd,1
EuropaJob,1
Ingrid und Johannes Raquet GbR,1
Work On Personal LTD,1
smartjobs personaldienstleistungen GmbH,1
Prosenioropole,1
Prestige24h Sp. z o.o. Sp. k.,1
Silverhand,1
SILVERHAND,1
Euro Service Agnieszka Wyszomirska,1
monisia15150,1
Allpersona GmbH,1
Adsum24,1
Gute Wesen,1
Agencja Pracy SCG,1
Professional Care sp. z o.o.,1
Professional Care 24,1
primajob,1
LIMNUSWORK Sp. z o.o. Sp. k.,1
BADER KARA® Praca Tymczasowa Sp. z o.o.,1
DE Pronobel sp. z o.o.,1
MonikaWalker,1
